class,event,field,match_single_point
odds,home_win,B365H,0
odds,home_win,BSH,0
odds,home_win,BWH,0
odds,home_win,GBH,0
odds,home_win,IWH,0
odds,home_win,LBH,0
odds,home_win,PSH,0
odds,home_win,PH,0
odds,home_win,SOH,0
odds,home_win,SBH,0
odds,home_win,SJH,0
odds,home_win,SYH,0
odds,home_win,VCH,0
odds,home_win,WHH,0
odds,home_win,BbMxH,0
odds,home_win,BbAvH,0
odds,home_win,MaxH,0
odds,home_win,AvgH,0
odds,away_win,B365A,0
odds,away_win,BSA,0
odds,away_win,BWA,0
odds,away_win,GBA,0
odds,away_win,IWA,0
odds,away_win,LBA,0
odds,away_win,PSA,0
odds,away_win,PA,0
odds,away_win,SOA,0
odds,away_win,SBA,0
odds,away_win,SJA,0
odds,away_win,SYA,0
odds,away_win,VCA,0
odds,away_win,WHA,0
odds,away_win,BbMxA,0
odds,away_win,BbAvA,0
odds,away_win,MaxA,0
odds,away_win,AvgA,0
odds,draw,B365D,0
odds,draw,BSD,0
odds,draw,BWD,0
odds,draw,GBD,0
odds,draw,IWD,0
odds,draw,LBD,0
odds,draw,PSD,0
odds,draw,PD,0
odds,draw,SOD,0
odds,draw,SBD,0
odds,draw,SJD,0
odds,draw,SYD,0
odds,draw,VCD,0
odds,draw,WHD,0
odds,draw,BbMxD,0
odds,draw,BbAvD,0
odds,draw,MaxD,0
odds,draw,AvgD,0
odds,above_25,BbMx>2.5,0
odds,above_25,BbAv>2.5,0
odds,above_25,GB>2.5,0
odds,above_25,B365>2.5,0
odds,above_25,P>2.5,0
odds,above_25,Max>2.5,0
odds,above_25,Avg>2.5,0
odds,below_25,BbMx<2.5,0
odds,below_25,BbAv<2.5,0
odds,below_25,GB<2.5,0
odds,below_25,B365<2.5,0
odds,below_25,P<2.5,0
odds,below_25,Max<2.5,0
odds,below_25,Avg<2.5,0
liquidity,number_of_bookies_25,BbOU,1
liquidity,number_of_bookies_results,Bb1X2,1
results,result_ft,FTR,1
results,result_ft,Res,1
results,home_goals_ft,FTHG,1
results,home_goals_ft,HG,1
results,away_goals_ft,FTAG,1
results,away_goals_ft,AG,1
results,result_ht,HTR,1
results,home_goals_ht,HTHG,1
results,away_goals_ht,HTAG,1
statistics,attendance,Attendance,1
statistics,home_shots,HS,1
statistics,away_shots,AS,1
statistics,home_shots_ontarget,HST,1
statistics,away_shots_ontarget,AST,1
statistics,home_woodwork,HHW,1
statistics,away_woodwork,AHW,1
statistics,home_corners,HC,1
statistics,away_corners,AC,1
statistics,home_fouls,HF,1
statistics,away_fouls,AF,1
statistics,home_freekick,HFKC,1
statistics,away_freekick,AFKC,1
statistics,home_offside,HO,1
statistics,away_offside,AO,1
statistics,home_yellow_cards,HY,1
statistics,away_yellow_cards,AY,1
statistics,home_red_cards,HR,1
statistics,away_red_cards,AR,1
statistics,home_booking_points,HBP,1
statistics,away_booking_points,ABP,1
odds,home_asian_handicap,BbMxAHH,0
odds,away_asian_handicap,BbMxAHA,0
odds,home_asian_handicap,BbAvAHH,0
odds,away_asian_handicap,BbAvAHA,0
odds,home_asian_handicap,GBAHH,0
odds,away_asian_handicap,GBAHA,0
odds,home_asian_handicap,LBAHH,0
odds,away_asian_handicap,LBAHA,0
odds,home_asian_handicap,B365AHH,0
odds,away_asian_handicap,B365AHA,0
odds,home_asian_handicap,PAHH,0
odds,away_asian_handicap,PAHA,0
odds,home_asian_handicap,MaxAHH,0
odds,away_asian_handicap,MaxAHA,0
odds,home_asian_handicap,AvgAHH,0
odds,away_asian_handicap,AvgAHA,0
liquidity,asian_handicap_size,GBAH,0
liquidity,asian_handicap_size,LBAH,0
liquidity,asian_handicap_size,B365AH,0
liquidity,asian_handicap_size,BbAHh,0
liquidity,asian_handicap_size,AHh,0
liquidity,number_of_bookies_results,BbAH,1
,,,
